attribute_name,description,label
"certification_status","User's professional qualification names and completion dates for skill tracking","Non-sensitive PII"
"certification_detail","User's qualification records including identity verification documents, test scores, and licensing authority account credentials","Sensitive PII"
"delivery_address_basic","User's general building location and office hours for package routing","Non-sensitive PII"
"delivery_address_full","User's shipping information including door codes, security checkpoint procedures, and personal residence details","Sensitive PII"
"reporting_chain","User's supervisor and subordinate names for organizational structure visualization","Non-sensitive PII"
"reporting_authority","User's management relationships including performance evaluations, disciplinary actions, and compensation decisions","Sensitive PII"
"equipment_log","User's assigned device types and return dates for inventory management","Non-sensitive PII"
"equipment_tracking","User's device usage including location history, stored credentials, and remote access patterns","Sensitive PII"
"shift_schedule","User's work hours and general availability windows for resource planning","Non-sensitive PII"
"shift_coverage","User's work pattern including overtime justification, medical accommodation requirements, and union representation details","Sensitive PII"
"expense_report_basic","User's business transaction categories and submission dates for accounting purposes","Non-sensitive PII"
"expense_report_detail","User's reimbursement records including credit card numbers, receipt images, and personal purchase patterns","Sensitive PII"
"subscription_list","User's enrolled service names and renewal dates for license management","Non-sensitive PII"
"subscription_access","User's service accounts including payment methods, authentication tokens, and usage analytics","Sensitive PII"
"language_preference","User's chosen communication languages and proficiency levels for content delivery","Non-sensitive PII"
"language_assessment","User's linguistic evaluation including accent analysis, cultural background indicators, and nationality markers","Sensitive PII"
"benefit_enrollment","User's selected benefit plan names and coverage effective dates for program management","Non-sensitive PII"
"benefit_claims","User's insurance usage including medical procedures, dependent information, and provider relationships","Sensitive PII"
"timesheet_basic","User's work hours and project allocation percentages for scheduling purposes","Non-sensitive PII"
"timesheet_detail","User's activity log including location tracking, system access times, and break pattern analysis","Sensitive PII"
"room_booking","User's meeting space reservations and attendee counts for facility management","Non-sensitive PII"
"room_requirements","User's space usage including accessibility needs, medical equipment placement, and security clearance zones","Sensitive PII"
"badge_status","User's access card activation state and general permissions for entry management","Non-sensitive PII"
"badge_privileges","User's facility access including biometric links, security level designations, and restricted area authorizations","Sensitive PII"
"project_team","User's assigned colleagues and general roles for collaboration planning","Non-sensitive PII"
"project_clearance","User's team involvement including background check results, security credentials, and confidentiality agreements","Sensitive PII"
"menu_preference","User's cafeteria selections and general dietary categories for meal planning","Non-sensitive PII"
"dietary_profile","User's food requirements including medical restrictions, religious considerations, and allergy severity details","Sensitive PII"
"transport_route","User's commute path and preferred arrival times for shuttle planning","Non-sensitive PII"
"transport_security","User's travel patterns including home address verification, escort requirements, and threat assessment levels","Sensitive PII"
"device_setup","User's hardware configuration preferences and installed application list","Non-sensitive PII"
"device_content","User's equipment data including stored passwords, personal files, and browsing history","Sensitive PII"
"leave_request","User's time off dates and general absence categories for schedule planning","Non-sensitive PII"
"leave_documentation","User's absence records including medical certificates, family situation details, and treatment schedules","Sensitive PII"
"skills_matrix","User's professional capabilities and experience levels for resource allocation","Non-sensitive PII"
"skills_evaluation","User's ability assessments including psychological profiles, learning disabilities, and performance limitations","Sensitive PII"
"contact_hours","User's available meeting times and preferred communication windows","Non-sensitive PII"
"contact_restrictions","User's availability constraints including protective orders, custody arrangements, and safety protocols","Sensitive PII"
"uniform_size","User's clothing measurements for equipment ordering purposes","Non-sensitive PII"
"uniform_requirements","User's apparel needs including medical device accommodations, religious garment specifications, and prosthetic considerations","Sensitive PII"
"printer_access","User's output device locations and general usage permissions","Non-sensitive PII"
"printer_monitoring","User's printing activity including document contents, personal annotations, and confidential markings","Sensitive PII"
"locker_assignment","User's storage unit number and access schedule for facility management","Non-sensitive PII"
"locker_contents","User's storage records including medical supplies, personal documents, and security device contents","Sensitive PII"
"seating_chart","User's desk location and department zone for space planning","Non-sensitive PII"
"seating_requirements","User's workspace needs including medical equipment placement, privacy requirements, and security zone clearances","Sensitive PII"
"file_storage","User's document categories and general folder structure for content organization","Non-sensitive PII"
"file_contents","User's stored materials including personal notes, confidential communications, and authentication data","Sensitive PII"
"attendance_log","User's present and absent dates for schedule tracking purposes","Non-sensitive PII"
"attendance_record","User's presence patterns including medical leave details, court appearances, and religious observance documentation","Sensitive PII"
"tool_inventory","User's assigned equipment types and maintenance schedules for resource management","Non-sensitive PII"
"tool_access","User's equipment records including safety certifications, incident reports, and restricted usage permissions","Sensitive PII"
"alert_settings","User's notification preferences and communication channels for updates","Non-sensitive PII"
"alert_content","User's message history including emergency contacts, medical response protocols, and crisis handling procedures","Sensitive PII"
"client_list","User's assigned customer names and general industries for relationship management","Non-sensitive PII"
"client_profile","User's customer records including credit reports, legal proceedings, and personal relationship details","Sensitive PII"
"schedule_view","User's calendar showing meeting times and general event categories","Non-sensitive PII"
"schedule_details","User's appointment records including therapy sessions, court mandated appearances, and witness protection arrangements","Sensitive PII"
"travel_log","User's business trip destinations and duration for expense tracking","Non-sensitive PII"
"travel_record","User's journey documentation including passport copies, visa applications, and security clearance requirements","Sensitive PII"
"system_access","User's application names and general permission levels for license management","Non-sensitive PII"
"system_privileges","User's platform credentials including administrator rights, security tokens, and authentication histories","Sensitive PII"
