attribute_name,description,label
"full_legal_name","Individual's complete legal name as it appears on official documents. Contains sensitive personally identifiable information used for legal and financial verification.","Non-sensitive PII"
"date_of_birth","Individual's birth date used for age verification and identity confirmation. Critical personally identifiable information used across financial and legal services.","Non-sensitive PII"
"social_security_number","Unique government-issued identification number for tax and benefits tracking. Highly sensitive personal identifier used for employment and financial services.","Non-sensitive PII"
"passport_number","Official travel document identifier issued by government authorities. Critical for international travel verification and KYC compliance.","Non-sensitive PII"
"national_id_number","Government-issued unique identifier used for official purposes. Essential for identity verification and accessing government services.","Sensitive PII"
"tax_identification_number","Unique number assigned by tax authorities for filing and tracking purposes. Critical for financial compliance and tax reporting.","Non-sensitive PII"
"maiden_name","Original surname before marriage, used for background verification. Important for identity verification and historical record tracking.","Sensitive PII"
"mother_maiden_name","Security verification information used as authentication factor. Commonly used as a security question for account recovery.","Personal Data"
"place_of_birth","Location where individual was born, used for identity verification. Required for various official documents and background checks.","Personal Data"
"nationality","Individual's official country of citizenship or legal status. Important for KYC compliance and international financial services.","Personal Data"
"residential_address","Current physical location where the individual primarily resides. Used for correspondence and verification in financial contexts.","Non-sensitive PII"
"previous_addresses","Historical record of past residential locations. Important for background checks and credit history verification.","Personal Data"
"mailing_address","Address designated for receiving official correspondence. May differ from residential address for security or convenience.","Personal Data"
"email_address","Primary electronic mail contact for digital communications. Used for account verification and official correspondence.","Personal Data"
"alternate_email","Secondary email address for backup communication purposes. Used as backup for account recovery and notifications.","Personal Data"
"phone_number","Primary contact number for voice and SMS communications. Used for two-factor authentication and account verification.","Personal Data"
"mobile_number","Cellular phone number for mobile communications and verification. Often used for SMS-based authentication and alerts.","Personal Data"
"work_phone","Professional contact number associated with employment. Used for business-related communications and verification.","Personal Data"
"emergency_contact","Name and contact information for urgent situations. Contains sensitive relationship and contact details.","Personal Data"
"marital_status","Current legal relationship status of the individual. Relevant for financial products and legal documentation.","Personal Data"
"spouse_name","Legal name of married partner if applicable. Important for joint accounts and beneficiary information.","Personal Data"
"dependents_information","Details about financial dependents and their relationships. Relevant for insurance and financial planning.","Personal Data"
"gender","Individual's gender identity for demographic purposes. Used for identity verification and demographic analysis.","Personal Data"
"blood_type","Medical blood group information for health records. Critical for healthcare and insurance purposes.","Personal Data"
"height","Physical measurement used for identification purposes. Part of biometric data used in official documents.","Personal Data"
"weight","Physical measurement used for health and identification. Relevant for healthcare and insurance assessment.","Personal Data"
"eye_color","Physical characteristic used for identification. Included in official identification documents.","Personal Data"
"hair_color","Physical characteristic used for identification purposes. Part of physical description in official records.","Personal Data"
"facial_features","Distinctive physical characteristics for identification. Used in biometric verification systems.","Personal Data"
"fingerprints","Unique biometric identifier used for authentication. Critical for security and identity verification.","Personal Data"
"signature","Handwritten name or mark for document authentication. Legal identifier used for financial transactions.","Personal Data"
